,High Degree,High Degree nodes,Centrality,Centrality nodes,Temparature,Temperature nodes,Random,Random nodes,Low Degree,Low degree nodes
0,0.0333,25,0.0361,25,0.0322,26,0.033,24,0.0302,15
1,0.0366,26,0.0372,26,0.0355,25,0.0376,2,0.0334,16
2,0.037,24,0.03723686538121351,24,0.0421,24,0.03760944042634184,10,0.03257934841303174,17
3,0.0414,0,0.0435,13,0.0428,22,0.0422,21,0.0342,7
4,0.041408579949529706,2,0.04349910648127969,0,0.0433,23,0.04220600385568714,26,0.0379,18
5,0.049,13,0.0489,2,0.0473,28,0.0429,17,0.0374592508149837,19
6,0.049047454104606855,22,0.0494,12,0.0482,29,0.04290362346664511,16,0.0381,30
7,0.0509,23,0.0516,23,0.0499,20,0.0432,31,0.0402,31
8,0.0551,1,0.0567,1,0.0513,0,0.0467,15,0.0416,4
9,0.0617,3,0.054478910421791565,3,0.058,1,0.04671265170697634,3,0.0464,5
10,0.05813883722325554,12,0.0563,11,0.058008536841368696,2,0.0503,12,0.04471910561788764,6
11,0.0588,11,0.0622,14,0.05683886322273555,3,0.051,7,0.044782087165133946,8
12,0.0613,20,0.06220095693779904,22,0.0657,4,0.0523,20,0.0513,9
13,0.0648,29,0.0689,28,0.06461870762584748,5,0.054,13,0.048019039619207615,10
14,0.0656,14,0.06619867602647947,20,0.0656,6,0.0597,19,0.0527,21
15,0.0726,27,0.0685,29,0.0669,7,0.05903881922361553,14,0.0532,28
16,0.06987860242795144,4,0.0745,8,0.06647867042659147,8,0.0594,5,0.053238750358268846,14
17,0.0705,5,0.0747,10,0.0707,9,0.0631,18,0.0545,27
18,0.0818,6,0.0763,9,0.07070989379541644,10,0.0634,23,0.0614,11
19,0.07507849843003139,8,0.0786,27,0.072,11,0.0694,25,0.061444511459589866,20
20,0.0773,9,0.0798,5,0.0731,12,0.0715,22,0.0657,29
21,0.0776,10,0.0826,4,0.0803,13,0.0745,29,0.0662,1
22,0.0834,21,0.08261519016431115,6,0.0816,14,0.082,9,0.0699,3
23,0.083407068130953,28,0.0843,21,0.08162521636148311,15,0.07891842163156737,0,0.0729,12
24,0.089,7,0.08430136076999668,7,0.0828,16,0.0827,4,0.07291124875880656,0
25,0.0872982540349193,18,0.0891,16,0.0859,17,0.0837,28,0.0801,2
26,0.0883,19,0.0936,17,0.089,27,0.0882,8,0.0836,13
27,0.0906,30,0.09109817803643927,30,0.0933,21,0.08825854912037952,27,0.0911,22
28,0.0994,31,0.0925,31,0.0943,30,0.0888,11,0.0869182616347673,23
29,0.09479810403791925,15,0.0937,18,0.09433822439602786,31,0.0951,1,0.0934,24
30,0.099,16,0.0958,19,0.097,18,0.096,6,0.095,26
31,0.1002,17,0.1019,15,0.1009,19,0.0987,30,0.0955,25
