,High Degree,High Degree nodes,Centrality,Centrality nodes,Temparature,Temperature nodes,Random,Random nodes,Low Degree,Low degree nodes,Vertex Cover,Vertex Cover nodes
0,0.2283,25,0.2318,25,0.2317,26,0.1923,24,0.0785,15,0.2316,25
1,0.3356,26,0.3213,26,0.3281,25,0.258,3,0.1422,16,0.3266,26
2,0.3819,24,0.3861,24,0.3815,24,0.28,7,0.189,17,0.3797,24
3,0.4281,0,0.4204,13,0.4272,22,0.3362,29,0.239,7,0.4177,22
4,0.4499,2,0.4585,0,0.4538,23,0.3603,15,0.2745,18,0.461,23
5,0.4892,13,0.4854,2,0.4818,28,0.3855,4,0.2946,19,0.4849,20
6,0.5168,22,0.5194,12,0.5176,29,0.4243,6,0.3277,30,0.529,29
7,0.5434,23,0.5381,23,0.5482,20,0.4543,28,0.3559,31,0.5461,27
8,0.5777,1,0.5702,1,0.5698,0,0.4908,23,0.3972,4,0.5679,21
9,0.5907,3,0.5898,3,0.6049,1,0.5196,2,0.4171,5,0.5861,28
10,0.6228,12,0.6252,11,0.6157,2,0.5308,18,0.4613,6,0.6034,18
11,0.6421,11,0.6408,14,0.6427,3,0.5809,25,0.4807,8,0.6273,19
12,0.6635,20,0.6645,22,0.6524,4,0.6016,8,0.4939,9,0.6281,30
13,0.6846,29,0.6884,28,0.662,5,0.6094,30,0.5267,10,0.652,31
14,0.7069,14,0.7121,20,0.6818,6,0.6329,11,0.5568,21,0.6629,0
15,0.7217,27,0.7215,29,0.6932,7,0.6596,0,0.5751,28,0.6871,1
16,0.7416,4,0.7294,8,0.704,8,0.6863,27,0.5998,14,0.7062,2
17,0.7488333333333334,5,0.7503,10,0.7212,9,0.6976,22,0.6241,27,0.7124,3
18,0.7563,6,0.7636,9,0.7321,10,0.7177,10,0.6422,11,0.7375,4
19,0.774,8,0.7694,27,0.7578,11,0.7333,14,0.6683,20,0.7543,5
20,0.7829,9,0.7955,5,0.7797,12,0.7495,17,0.689,29,0.7591,6
21,0.7968,10,0.8057,4,0.7981,13,0.7621,21,0.7185,1,0.7799,7
22,0.812,21,0.8171,6,0.8257,14,0.7741,5,0.7197,3,0.7818,8
23,0.8321,28,0.835,21,0.8276,15,0.7969,1,0.7421,12,0.8031,9
24,0.8417,7,0.8433,7,0.8367,16,0.8099,12,0.7706,0,0.8154,10
25,0.8471,18,0.8541,16,0.8488,17,0.8198,31,0.7814,2,0.8309,11
26,0.8567,19,0.87,17,0.8617,27,0.8347,9,0.8014,13,0.8489,12
27,0.8677,30,0.8714,30,0.8707,21,0.8544,16,0.8184,22,0.8676,13
28,0.8824,31,0.8907,31,0.882,30,0.8717,13,0.8456,23,0.8734,14
29,0.8888,15,0.8952,18,0.8934,31,0.8826,26,0.8624,24,0.8901,15
30,0.904,16,0.902,19,0.8966,18,0.8895,19,0.8906,26,0.8991,16
31,0.9092,17,0.9162,15,0.911,19,0.9102,20,0.9073,25,0.9096,17
