,High Degree,High Degree nodes,Centrality,Centrality nodes,Temparature,Temperature nodes,Random,Random nodes,Low Degree,Low degree nodes
0,0.0207,34,0.0201,34,0.0216,38,0.02,32,0.020433333333333335,22
1,0.0211,7,0.0255,33,0.0233,17,0.021833333333333333,10,0.0208,8
2,0.0213,13,0.0262,13,0.0247,34,0.0247,22,0.020831951170967956,28
3,0.0281,33,0.0263,7,0.0265,19,0.0247680653672653,40,0.0234,37
4,0.0282,14,0.0295,40,0.0284,33,0.023433333333333334,48,0.023402504799341806,46
5,0.03,40,0.0298,14,0.0306,18,0.0254,37,0.0255,6
6,0.030266666666666667,0,0.0307,3,0.0292,40,0.028333333333333332,13,0.025560224089635854,9
7,0.030277330167076583,31,0.0333,19,0.0283,31,0.02721945561088778,41,0.02556543591726271,11
8,0.0334,16,0.03283333333333333,32,0.0292,13,0.0285,0,0.0275,12
9,0.0334,19,0.033,27,0.0342,5,0.02853346387859291,16,0.0278,47
10,0.0338,27,0.0359,18,0.0344,42,0.0288,47,0.027366666666666668,48
11,0.0342,38,0.0377,42,0.0344000737803191,39,0.0319,21,0.02737642585551331,1
12,0.039,4,0.0398,0,0.035,47,0.03253333333333333,46,0.0277,2
13,0.03902940043651303,5,0.0406,4,0.037,36,0.03145937081258375,39,0.0319,15
14,0.03905120046282904,17,0.040609015153334455,38,0.0392,7,0.0327,2,0.034,26
15,0.0411,18,0.041,21,0.03716666666666667,48,0.0358,19,0.035,29
16,0.0434,23,0.0439,49,0.03718402208610128,35,0.0381,4,0.034633333333333335,44
17,0.04345581275277515,24,0.04393128696141932,16,0.0417,14,0.0408,45,0.0355,45
18,0.0458,32,0.04586666666666667,35,0.0417624138275552,4,0.040832379862700226,3,0.0383,25
19,0.0467,36,0.0471,31,0.0456,21,0.0441,23,0.03832276938078986,30
20,0.0488,39,0.0499,39,0.04533333333333334,27,0.044122533058674994,44,0.0383,35
21,0.0489,49,0.04990384615384615,10,0.0483,16,0.04393333333333333,5,0.0389,41
22,0.047819043619127616,3,0.0509,30,0.04831735288588081,0,0.0471,1,0.0389156439335094,43
23,0.0516,10,0.0516,44,0.0498,1,0.0505,9,0.0425,3
24,0.0533,20,0.05161225915942897,20,0.049830800875854286,23,0.0494,49,0.0474,10
25,0.0536,21,0.0591,24,0.049836065573770495,49,0.04953333333333333,43,0.04713333333333333,20
26,0.0578,42,0.059130434782608696,45,0.0542,32,0.049551768298689784,17,0.048,21
27,0.057818748729072056,25,0.0596,5,0.054225841692322974,24,0.049603558305936955,42,0.0503,42
28,0.0605,30,0.05963049772507928,17,0.0567,25,0.055,33,0.0518,4
29,0.0632,35,0.0605,36,0.0594,15,0.0554,18,0.0528,5
30,0.062033333333333336,41,0.0628,23,0.0603,2,0.0563,31,0.0536,17
31,0.06204115396546376,43,0.06316666666666666,41,0.0606,28,0.0603,25,0.0547,18
32,0.06383333333333334,1,0.0641,43,0.06060217535312093,9,0.06031356655290102,12,0.0564,23
33,0.06390428946600525,2,0.069,26,0.06316666666666666,30,0.0607,28,0.05641652583510122,24
34,0.0647,15,0.0696,9,0.066,43,0.0653,24,0.05876666666666667,32
35,0.0704,26,0.06856666666666666,2,0.0661,3,0.06531964934787257,38,0.058766338986712754,36
36,0.07040244185660728,29,0.0715,15,0.0701,10,0.06532003120252905,6,0.058767772511848344,39
37,0.0734,44,0.0731,6,0.07009782540968285,45,0.06586666666666667,15,0.06326666666666667,49
38,0.0734107633655466,45,0.0769,47,0.0726,26,0.06591625393966681,34,0.0656,16
39,0.07341877960434662,6,0.0771,1,0.0744,22,0.0682,8,0.06561349098662532,19
40,0.07343473249177655,9,0.07483333333333334,48,0.0737,46,0.07183333333333333,26,0.06565748677731169,27
41,0.0755,11,0.0778,29,0.07317853642927141,41,0.07183618663981202,27,0.0659,38
42,0.0763,12,0.0789,28,0.0774,29,0.0733,7,0.0715,31
43,0.0806,47,0.0772,25,0.079,6,0.0743,29,0.07151143520053033,0
44,0.0825,48,0.0797,12,0.0795,20,0.07723333333333333,11,0.07155356795644566,14
45,0.0836,28,0.0797,46,0.0805,12,0.07893333333333333,36,0.0776,40
46,0.08156666666666666,37,0.0837,11,0.0832,37,0.0805,14,0.0786,7
47,0.08157189639773742,46,0.0838,37,0.0844,44,0.0814,20,0.0824,13
48,0.0851,8,0.0857,8,0.0852,11,0.083,30,0.0841,33
49,0.0867,22,0.08570963011243278,22,0.0857,8,0.08300395256916997,35,0.08411892675852067,34
