,High Degree,High Degree nodes,Centrality,Centrality nodes,Temparature,Temperature nodes,Random,Random nodes,Low Degree,Low degree nodes,Vertex Cover,Vertex Cover nodes
0,0.0209,20,0.0216,14,0.0213,49,0.0219,1,0.0195,16,0.021,20
1,0.0223,26,0.021626581034143784,20,0.021332430373317533,33,0.021954622218958806,49,0.022,29,0.0225,26
2,0.022300114824439474,49,0.0231,49,0.0234,26,0.021969990111354743,23,0.0225,38,0.023766666666666665,35
3,0.0237,35,0.0252,19,0.02340718487920891,20,0.023,32,0.022515744301398875,39,0.0241,33
4,0.0266,48,0.0252,26,0.023426449787835927,14,0.0255,6,0.0237,1,0.024132133320146375,2
5,0.0269,6,0.0287,33,0.0267,6,0.0268,16,0.0258,4,0.0252,6
6,0.026948356807511738,11,0.028159436811263774,2,0.027366666666666668,30,0.02681817026360609,11,0.0231,21,0.027,19
7,0.029333333333333333,19,0.0324,34,0.0279,47,0.0287,26,0.02666666666666667,43,0.0306,3
8,0.032,33,0.03241728922091782,48,0.031,34,0.028715090567637973,47,0.0279,5,0.0311,15
9,0.03203939374560338,34,0.035,35,0.031049815359107693,45,0.0307,45,0.0291,8,0.0326,42
10,0.0339,41,0.034133333333333335,3,0.029833333333333333,5,0.0309,44,0.0294,24,0.0346,48
11,0.0363,42,0.0353,12,0.03356666666666667,12,0.030910063603400106,33,0.029933333333333333,25,0.034623579545454544,10
12,0.0365,2,0.0381,45,0.0353,23,0.033466666666666665,14,0.031166666666666665,32,0.0384,11
13,0.0373,3,0.0385,41,0.03533809038396194,15,0.03348995301409577,28,0.0324,40,0.0384167237834133,41
14,0.0377,10,0.041,6,0.0371,2,0.0366,40,0.032406579653137854,0,0.0411,49
15,0.0391,12,0.04100917004142811,42,0.037142857142857144,19,0.0383,25,0.0334,7,0.0416,0
16,0.0399,14,0.0429,36,0.0408,22,0.0409,2,0.0337,13,0.0427,7
17,0.0406,36,0.0437,44,0.041,13,0.04223333333333333,12,0.03663333333333333,17,0.0455,12
18,0.0444,45,0.0451,10,0.0410458251335395,37,0.042242439144332435,39,0.03665067499721075,27,0.0455079271873165,13
19,0.0469,47,0.047,31,0.0437,48,0.0434,38,0.0371,28,0.0462,23
20,0.0474,9,0.047,11,0.0444,31,0.04343886579255943,43,0.0414,31,0.046236559139784944,37
21,0.0506,15,0.0478,18,0.0462,44,0.043460434604346045,21,0.0415,44,0.048,8
22,0.0536,18,0.0483,23,0.0506,7,0.0454,31,0.0456,46,0.0483,14
23,0.054266666666666664,22,0.0518,15,0.05061106124421736,41,0.0475,34,0.0459,9,0.0517,36
24,0.0549,23,0.051829641414759514,9,0.0512,28,0.04750559526387987,15,0.0459,15,0.0555,9
25,0.0553,30,0.0548,22,0.054,10,0.051,4,0.0487,18,0.0552,25
26,0.05653333333333333,37,0.056433333333333335,47,0.0540036849573265,40,0.0511,30,0.048754379135850526,22,0.053558928821423574,30
27,0.0571,0,0.056447467876039305,27,0.0589,24,0.0516,8,0.0533,23,0.0561,21
28,0.0576,7,0.0599,0,0.0603,17,0.0539,13,0.05331083930830873,30,0.0569,27
29,0.057602186930486854,13,0.05991809756448021,40,0.0633,3,0.053952938859899574,24,0.054,37,0.0593,28
30,0.0657,17,0.064,7,0.060533333333333335,43,0.058,17,0.054,2,0.0621,31
31,0.06573686657368666,27,0.06236666666666667,30,0.06059765010639282,27,0.05800608407079646,3,0.05823333333333333,3,0.062154025444304165,45
32,0.067,28,0.0655,28,0.0611,8,0.0616,5,0.057298854022919544,10,0.0627,1
33,0.0665,31,0.06551490867461102,46,0.065,42,0.061615320566194835,46,0.059,12,0.0682,39
34,0.0685,44,0.0698,37,0.0655,39,0.06436666666666667,22,0.0593,14,0.06820573533280716,4
35,0.06850581798566695,46,0.0714,1,0.06666666666666667,18,0.06440677966101695,10,0.06496666666666667,36,0.06863333333333334,16
36,0.074,5,0.0719,8,0.072,9,0.0645,35,0.0672,45,0.0704,17
37,0.0742,8,0.07195874677709196,17,0.0695,36,0.0685,37,0.06616666666666667,47,0.07040641099026904,5
38,0.07422392231867,24,0.0749,13,0.0724,35,0.07026666666666667,41,0.0675,6,0.07041550139832202,18
39,0.0752,25,0.07492088607594936,39,0.0756,46,0.0711,36,0.071,11,0.0743,22
40,0.0771,32,0.0783,5,0.07623333333333333,4,0.07112422156669944,29,0.0721,19,0.07363333333333333,24
41,0.0791,40,0.07833489534520463,43,0.0787,38,0.0774,48,0.0733,33,0.07365145228215768,29
42,0.0799,1,0.0806,25,0.07873311264203274,32,0.07741728236427883,42,0.0759,34,0.0773,32
43,0.083,4,0.0831,21,0.0794,16,0.07743057834963565,27,0.0773,41,0.0818,34
44,0.08301959648614732,21,0.08312736859449663,32,0.07940704371636295,0,0.07745653447939051,0,0.0823,42,0.0827,38
45,0.0848,43,0.0862,24,0.0849,11,0.08086666666666667,18,0.08230180478125296,35,0.07823333333333334,40
46,0.08480078701426463,29,0.08621683967704728,4,0.08286666666666667,1,0.0834,9,0.0849,48,0.0818,43
47,0.08482610875609645,38,0.08313333333333334,29,0.0829175813210936,25,0.08343746996058829,19,0.0849,26,0.0848,44
48,0.08653333333333334,39,0.0832,38,0.084,29,0.0872,20,0.0871,49,0.0899,46
49,0.0866,16,0.0875,16,0.0928,21,0.0914,7,0.08712479573406726,20,0.0902,47
