,High Degree,High Degree nodes,Centrality,Centrality nodes,Temparature,Temperature nodes,Random,Random nodes,Low Degree,Low degree nodes,Vertex Cover,Vertex Cover nodes
0,0.0303,20,0.0341,14,0.0295,49,0.0258,38,0.0229,16,0.029,20
1,0.043,26,0.045,20,0.0408,33,0.0335,37,0.0305,29,0.0443,26
2,0.0566,49,0.0613,49,0.0544,26,0.0412,30,0.0326,38,0.058,35
3,0.0688,35,0.0866,19,0.0689,20,0.0594,42,0.0443,39,0.0657,33
4,0.0896,48,0.0978,26,0.0895,14,0.0673,35,0.0593,1,0.085,2
5,0.1039,6,0.1127,33,0.1019,6,0.0861,10,0.0664,4,0.0965,6
6,0.114,11,0.1272,2,0.1177,30,0.0962,11,0.0863,21,0.1161,19
7,0.1315,19,0.1418,34,0.1265,47,0.1061,5,0.0927,43,0.1328,3
8,0.1422,33,0.1524,48,0.1457,34,0.1214,14,0.0963,5,0.1391,15
9,0.1547,34,0.1729,35,0.1554,45,0.1329,16,0.107,8,0.1569,42
10,0.1712,41,0.177,3,0.1627,5,0.1433,29,0.1138,24,0.1651,48
11,0.182,42,0.1935,12,0.1831,12,0.1607,3,0.1281,25,0.1786,10
12,0.1936,2,0.2071,45,0.2021,23,0.16071964017991006,21,0.1317,32,0.1961,11
13,0.1991,3,0.2215,41,0.2021109505560093,15,0.1748,7,0.1469,40,0.1973,41
14,0.2278,10,0.2319,6,0.2193,2,0.186,43,0.1652,0,0.2204,49
15,0.2321,12,0.2414,42,0.2365,19,0.1994,33,0.1781,7,0.22040999551099805,0
16,0.254,14,0.2531,36,0.2487,22,0.2049,32,0.1851,13,0.2332,7
17,0.2609,36,0.2578,44,0.2599,13,0.2174,45,0.1891,17,0.2458,12
18,0.2695,45,0.2712,10,0.2704,37,0.2233,20,0.2063,27,0.2494,13
19,0.276,47,0.2816,31,0.2731,48,0.243,28,0.2175,28,0.26413333333333333,23
20,0.2852,9,0.2877,11,0.2878,31,0.2537,19,0.2383,31,0.2778,37
21,0.2971,15,0.2978,18,0.3042,44,0.2645,23,0.2383177570093458,44,0.2827,8
22,0.305,18,0.3095,23,0.3089,7,0.2691,36,0.2526,46,0.3002,14
23,0.3162,22,0.3151,15,0.3259,41,0.2851,34,0.2558,9,0.3041,36
24,0.3218,23,0.31510391724930564,9,0.32590222933120067,28,0.2993,0,0.2666,15,0.3087,9
25,0.3315,30,0.3293333333333333,22,0.3356,10,0.30423333333333336,31,0.2777,18,0.3161,25
26,0.3472,37,0.3448,47,0.3431,40,0.3056,25,0.2893,22,0.3228,30
27,0.3482,0,0.3576,27,0.3499,24,0.3183,24,0.2921,23,0.3333,21
28,0.362,7,0.3588,0,0.3626666666666667,17,0.3275,26,0.30593333333333333,30,0.3442,27
29,0.3643,13,0.3681,40,0.3802,3,0.3411,4,0.3133,37,0.34876666666666667,28
30,0.3738,17,0.3733,7,0.3854,43,0.3446,17,0.3238,2,0.357,31
31,0.376,27,0.3821,30,0.3854052437443924,27,0.34883333333333333,13,0.3279,3,0.3707,45
32,0.3892,28,0.398,28,0.3913333333333333,8,0.3514,1,0.3385,10,0.3759,1
33,0.3926,31,0.4006,46,0.4027,42,0.3602,8,0.3506,12,0.3776,39
34,0.4056,44,0.4046,37,0.4082,39,0.3702,44,0.3611,14,0.3869,4
35,0.409,46,0.4122,1,0.4181,18,0.3844,41,0.3692,36,0.3987,16
36,0.4198,5,0.4219333333333333,8,0.42183333333333334,9,0.4006,12,0.3886,45,0.4008,17
37,0.4252,8,0.4234,17,0.4265,36,0.4014,9,0.394,47,0.4189,5
38,0.437,24,0.4351,13,0.4434,35,0.4094,27,0.3957,6,0.41890081853938554,18
39,0.4347666666666667,25,0.4465,39,0.4434105582985188,46,0.4225,49,0.4089,11,0.4249,22
40,0.4374,32,0.4482,5,0.44683333333333336,4,0.4272,15,0.4152,19,0.42483333333333334,24
41,0.4534,40,0.45163333333333333,43,0.4507,38,0.4361,39,0.4311,33,0.4289,29
42,0.4538,1,0.4529,25,0.4639,32,0.4406,18,0.4412,34,0.4367,32
43,0.4624666666666667,4,0.4633,21,0.4678,16,0.4541,2,0.44116922571639705,41,0.4541,34
44,0.4664,21,0.4675,32,0.4688,0,0.4586,46,0.4507333333333333,42,0.4644,38
45,0.4691,43,0.47373333333333334,24,0.4742,11,0.4624,40,0.4622,35,0.46403333333333335,40
46,0.4844,29,0.4770666666666667,4,0.48013333333333336,1,0.4741,22,0.4664,48,0.4772,43
47,0.4882,38,0.4823,29,0.4814,25,0.475,48,0.4802,26,0.483,44
48,0.4888,39,0.4889,38,0.485,29,0.4898,47,0.4887,49,0.4846,46
49,0.4971,16,0.4904,16,0.4889,21,0.4946,6,0.4938,20,0.4895,47
