,High Degree,High Degree nodes,Centrality,Centrality nodes,Temparature,Temperature nodes,Random,Random nodes,Low Degree,Low degree nodes,Vertex Cover,Vertex Cover nodes
0,0.0346,4,0.0329,4,0.0311,4,0.0268,16,0.0245,15,0.0291,4
1,0.045,0,0.0449,1,0.0397,3,0.0367,3,0.0287,18,0.0417,0
2,0.0579,1,0.0554,3,0.0525,14,0.039,35,0.0319,20,0.0584,1
3,0.0682,3,0.0731,0,0.0694,13,0.0439,20,0.0388,21,0.075,14
4,0.0753,6,0.0837,14,0.0789,28,0.0552,38,0.0455,23,0.0904,6
5,0.0945,14,0.0998,6,0.0964,0,0.0571,10,0.0506,31,0.1024,7
6,0.1121,7,0.1097,13,0.1125,1,0.0759,14,0.0578,32,0.1099,3
7,0.126,13,0.125,5,0.1195,2,0.0847,9,0.0588,33,0.1226,13
8,0.139,5,0.1292,7,0.1283,6,0.096,0,0.062,34,0.1384,5
9,0.143,8,0.1388,19,0.1364,11,0.1007,37,0.0727,35,0.1471,28
10,0.1559,9,0.1484,9,0.1501,7,0.1144,28,0.0763,37,0.1523,11
11,0.15856666666666666,19,0.1628,12,0.1651,5,0.1242,30,0.0825,38,0.1622,19
12,0.1684,28,0.169,28,0.1658,9,0.1242,18,0.09,39,0.1723,9
13,0.1815,11,0.1812,8,0.1787,25,0.1397,22,0.0976,40,0.1774,12
14,0.1869,12,0.1906,29,0.184,43,0.1483,48,0.09764376996805112,41,0.1896,25
15,0.2028,29,0.1961,11,0.1863,12,0.1522,44,0.1087,42,0.1947,29
16,0.206,22,0.1961099214846538,24,0.197,8,0.1538,21,0.1093,44,0.1997,43
17,0.2076,24,0.20913333333333334,25,0.211,19,0.1621,49,0.1214,45,0.2049,22
18,0.2169,25,0.2156,43,0.2222,24,0.175,6,0.1216,46,0.21406666666666666,31
19,0.2261,43,0.21933333333333332,30,0.22224428997020854,29,0.1751,32,0.1282,47,0.2185,8
20,0.2319,2,0.2315,26,0.2293,22,0.1877,47,0.1282328270953803,48,0.22386666666666666,16
21,0.2325,10,0.2352,22,0.2367,36,0.1919,27,0.1401,49,0.23203333333333334,17
22,0.2375,16,0.2421,27,0.2445,27,0.2011,12,0.1493,2,0.2367,24
23,0.2511,17,0.247,36,0.2498,31,0.2033,41,0.1542,10,0.2408,30
24,0.2551,26,0.2486,2,0.2507,17,0.20330986426653117,36,0.1636,16,0.2416,36
25,0.2568,27,0.26,16,0.2601,16,0.2203,4,0.1704,17,0.2583,2
26,0.2638,30,0.2652,17,0.26013448607108547,26,0.2215,13,0.1721,26,0.2583016027627734,10
27,0.267,36,0.26521332085060856,10,0.2606,34,0.2376,29,0.1805,27,0.2613666666666667,15
28,0.2691,15,0.271,18,0.2634,40,0.2428,19,0.18051348264388936,30,0.2710666666666667,18
29,0.276,18,0.27186666666666665,33,0.2709,37,0.2461,39,0.1983,36,0.2722,20
30,0.2760105805751492,20,0.2822,44,0.2819,30,0.2593,1,0.1983264252756706,22,0.2724,21
31,0.2837,21,0.2822153353993802,48,0.2897,10,0.2593057955080886,34,0.2002,24,0.2792,23
32,0.28196666666666664,23,0.2877,46,0.2963,35,0.2628,45,0.2199,25,0.2808,26
33,0.2943,31,0.2877217460633845,37,0.2992,23,0.2675,2,0.21992064025825542,43,0.2973,27
34,0.3029,32,0.2913,42,0.3026,48,0.2823,7,0.2389,11,0.2996,32
35,0.29836666666666667,33,0.30366666666666664,23,0.3059,18,0.2894,43,0.2447,12,0.2996666666666667,33
36,0.3032,34,0.30364412670042695,47,0.314,39,0.2894238358326756,42,0.2487,29,0.308,34
37,0.309,35,0.3055,39,0.3058,47,0.295,17,0.2566,8,0.30803249097472923,35
38,0.3172,37,0.3143,35,0.3183,45,0.2967,8,0.2675,9,0.3134,37
39,0.3217,38,0.3147,45,0.3288,49,0.2976,33,0.2723333333333333,19,0.3249,38
40,0.3229,39,0.3232,34,0.3315,33,0.3178,5,0.288,28,0.32003333333333334,39
41,0.3279,40,0.3247,31,0.3307333333333333,46,0.3203,46,0.2886,5,0.328,40
42,0.3279004932446923,41,0.3324,40,0.3314,42,0.323,31,0.2965,7,0.3284,41
43,0.3362,42,0.3413,21,0.344,32,0.327,40,0.3114,13,0.3352,42
44,0.3385,44,0.33586666666666665,49,0.3440100307762453,44,0.3313,15,0.3204,3,0.3412,44
45,0.342,45,0.3437,38,0.3456,38,0.3362,25,0.3271,6,0.34120900446341934,45
46,0.3477,46,0.3478,15,0.3497,41,0.3386,23,0.3391,14,0.3422,46
47,0.34503333333333336,47,0.3517,20,0.3504,21,0.3387,24,0.3453,0,0.3489,47
48,0.35956666666666665,48,0.35463333333333336,32,0.3536,15,0.3601,11,0.3545,1,0.3519,48
49,0.35189296214075716,49,0.3589,41,0.3672,20,0.363,26,0.3591,4,0.3585,49
