,High Degree,High Degree nodes,Centrality,Centrality nodes,Temparature,Temperature nodes,Random,Random nodes,Low Degree,Low degree nodes,Vertex Cover,Vertex Cover nodes
0,0.179,4,0.1752,4,0.1773,4,0.0813,39,0.0731,15,0.1724,4
1,0.2419,0,0.2543,1,0.2461,3,0.1805,11,0.1179,18,0.243,0
2,0.2962,1,0.3012,3,0.3056,14,0.227,25,0.1361,20,0.3102,1
3,0.3455,3,0.3436,0,0.3352,13,0.2925,3,0.1665,21,0.3493,14
4,0.3795,6,0.3916,14,0.3793,28,0.3258,43,0.1924,23,0.3738,6
5,0.4221,14,0.4171,6,0.4053,0,0.3525,9,0.2265,31,0.4212,7
6,0.4583,7,0.45,13,0.4455,1,0.3761,35,0.2487,32,0.4424,3
7,0.4802,13,0.4722,5,0.4742,2,0.4058,19,0.2686,33,0.4763,13
8,0.4945,5,0.5082,7,0.4937,6,0.4421,4,0.2987,34,0.4982,5
9,0.5182,8,0.5235,19,0.5217,11,0.4704,24,0.3185,35,0.5225,28
10,0.5333,9,0.5457,9,0.5366,7,0.4848,13,0.3402,37,0.5433,11
11,0.5504,19,0.564,12,0.5646,5,0.4965,18,0.3546,38,0.5666,19
12,0.5845,28,0.5834,28,0.5798,9,0.5352,2,0.3795,39,0.5773,9
13,0.5984,11,0.5916,8,0.6038,25,0.5454,7,0.3983,40,0.6046,12
14,0.6105,12,0.6127,29,0.6191,43,0.5595,46,0.4102,41,0.6226,25
15,0.6321,29,0.6312,11,0.6372,12,0.5614,38,0.4287,42,0.6372,29
16,0.645,22,0.648,24,0.6487,8,0.5852,12,0.4458,44,0.6521,43
17,0.6672,24,0.6618,25,0.6728,19,0.5987,34,0.4582,45,0.6708,22
18,0.6776,25,0.6816,43,0.6871,24,0.6083,42,0.4668,46,0.6781,31
19,0.6984,43,0.6981,30,0.6907,29,0.6116,23,0.4881,47,0.6976,8
20,0.7127333333333333,2,0.7089,26,0.7145,22,0.6383,29,0.4984,48,0.6984,16
21,0.7162,10,0.713,22,0.7243,36,0.6442,8,0.512,49,0.7182,17
22,0.7221,16,0.7269,27,0.7301,27,0.6577,44,0.5331,2,0.7366,24
23,0.7384666666666667,17,0.7329,36,0.7374,31,0.676,1,0.556,10,0.7405,30
24,0.7489,26,0.7517,2,0.7533,17,0.6827,48,0.5646,16,0.7547,36
25,0.7543,27,0.7585,16,0.7582,16,0.6914,31,0.5755,17,0.7638,2
26,0.7706,30,0.77,17,0.7691,26,0.7045,41,0.6,26,0.7776,10
27,0.7748,36,0.7777,10,0.7776,34,0.7048,27,0.6099,27,0.7728,15
28,0.7828,15,0.788,18,0.7868,40,0.7318,14,0.6169,30,0.7832,18
29,0.793,18,0.7911,33,0.7953,37,0.734,15,0.6332,36,0.7869666666666667,20
30,0.7944,20,0.8006,44,0.802,30,0.7458,16,0.6539,22,0.7861042779144417,21
31,0.7962,21,0.8044,48,0.8131,10,0.7537666666666667,10,0.6672,24,0.7967,23
32,0.8047,23,0.8068,46,0.8237,35,0.7605,47,0.6816,25,0.8031,26
33,0.8097,31,0.8156,37,0.8254,23,0.7691333333333333,22,0.6885,43,0.8141,27
34,0.8211,32,0.8242,42,0.8342,48,0.771,20,0.7082,11,0.8182,32
35,0.8254,33,0.8268,23,0.8458,18,0.777,26,0.7323,12,0.8256,33
36,0.8329,34,0.8331,47,0.8487,39,0.8038,36,0.7355,29,0.8375,34
37,0.8395,35,0.8371,39,0.8509,47,0.8042333333333334,49,0.7502,8,0.8438,35
38,0.8415,37,0.8402,35,0.8581,45,0.8097,32,0.7605,9,0.8472,37
39,0.85,38,0.8502,45,0.8718,49,0.8128,21,0.7841,19,0.8531,38
40,0.8558,39,0.8608,34,0.8731,33,0.8297,6,0.7876,28,0.8558,39
41,0.8652,40,0.8724,31,0.8765,46,0.8432,5,0.8084,5,0.8727,40
42,0.8714333333333333,41,0.8785,40,0.8794,42,0.8504,30,0.8238,7,0.8744,41
43,0.8724,42,0.8805,21,0.8865,32,0.8583,33,0.8372,13,0.8771,42
44,0.8805,44,0.8903,49,0.8904,44,0.8609,17,0.8439,3,0.8785,44
45,0.8835,45,0.8928,38,0.8937,38,0.8753666666666666,28,0.8601,6,0.8818,45
46,0.8909,46,0.8975,15,0.9008,41,0.8856,45,0.8821,14,0.8822,46
47,0.8931,47,0.9045,20,0.9066,21,0.8955,0,0.8837,0,0.8979,47
48,0.8992,48,0.9057,32,0.9077,15,0.899,37,0.8948,1,0.9058,48
49,0.915,49,0.9061,41,0.9113,20,0.9143,40,0.9079,4,0.909,49
