,High Degree,High Degree nodes,Centrality,Centrality nodes,Temparature,Temperature nodes,Random,Random nodes,Low Degree,Low degree nodes,Vertex Cover,Vertex Cover nodes
0,0.1401,5,0.1325,5,0.139,29,0.1085,21,0.0999,1,0.1353,5
1,0.2068,11,0.2201,11,0.211,5,0.1752,1,0.1658,7,0.2135,11
2,0.2719,17,0.276,17,0.2776,11,0.2397,16,0.2332,13,0.2792,17
3,0.3387,23,0.346,23,0.3381,17,0.2889,15,0.2776,19,0.3446,23
4,0.3861,29,0.3868,29,0.3847,23,0.3061,14,0.33,25,0.392,29
5,0.4198,0,0.4182,0,0.419,2,0.3263,17,0.3748,0,0.4168,2
6,0.4389,2,0.4403,6,0.4432,3,0.3572,13,0.4093,2,0.4512,8
7,0.457,3,0.4714,12,0.4585,4,0.3733,18,0.4308,3,0.4744,14
8,0.4713,4,0.497,18,0.4861,8,0.4047,22,0.4339,4,0.5031,20
9,0.5102,6,0.5225,24,0.5176,9,0.4622,24,0.4826,6,0.5379,26
10,0.5294,8,0.5471,2,0.5394,10,0.5054,29,0.5013,8,0.559,3
11,0.5457,9,0.5693,3,0.5672,14,0.5383,7,0.5238,9,0.5813,9
12,0.5691,10,0.5944,4,0.5934,15,0.5738,26,0.5346,10,0.6043,15
13,0.5969,12,0.6064,8,0.6089,16,0.601,2,0.5806,12,0.6285,21
14,0.6166,14,0.6308,9,0.645,20,0.6281,6,0.5889,14,0.6603,27
15,0.6356,15,0.6492,10,0.6537,21,0.6545,9,0.6163,15,0.6775,4
16,0.6597,16,0.6707,14,0.6835,22,0.6686,12,0.6318,16,0.6985,10
17,0.6802,18,0.6898,15,0.715,26,0.7013,5,0.6599,18,0.7119,16
18,0.7033,20,0.7123,16,0.7335,27,0.713,10,0.6974,20,0.7386,22
19,0.7378,21,0.7391,20,0.7578,28,0.7313,20,0.7115,21,0.7482,28
20,0.751,22,0.7536,21,0.7714,0,0.7568,27,0.7324,22,0.7642,0
21,0.7733,24,0.7661,22,0.7805,1,0.7717,3,0.7596,24,0.7905,1
22,0.797,26,0.7938,26,0.8091,7,0.7914,28,0.7838,26,0.7995,6
23,0.8171,27,0.8211,27,0.823,13,0.8105,0,0.8041,27,0.8184,7
24,0.8374,28,0.8339,28,0.8369,19,0.8286,19,0.8223,28,0.8395,12
25,0.8557,1,0.8469,1,0.8548,25,0.8412,25,0.8459,5,0.8468,13
26,0.8682,7,0.8599,7,0.8647,6,0.859,8,0.8554,11,0.866,18
27,0.8817,13,0.8803,13,0.8763,12,0.8725,23,0.8764,17,0.8776,19
28,0.8954,19,0.8973,19,0.8917,18,0.8882,4,0.8957,23,0.894,24
29,0.9086,25,0.9135,25,0.912,24,0.9131,11,0.9076,29,0.9104,25
