,High Degree,High Degree nodes,Centrality,Centrality nodes,Temparature,Temperature nodes,Random,Random nodes,Low Degree,Low degree nodes,Vertex Cover,Vertex Cover nodes
0,0.307,25,0.3081,25,0.3061,26,0.1651,4,0.1294,15,0.3055,25
1,0.4131,26,0.4014,26,0.4192,25,0.2909,24,0.1873,16,0.4028,26
2,0.4706,24,0.4543,24,0.4695,24,0.3366,17,0.2247,17,0.4632,24
3,0.5156,0,0.5044,13,0.5184,22,0.3626,31,0.2735,7,0.5157,22
4,0.5328,2,0.5364,0,0.5486,23,0.4203,22,0.3207,18,0.5525,23
5,0.572,13,0.5652,2,0.5824,28,0.4401,18,0.3415,19,0.5814,20
6,0.6041,22,0.591,12,0.617,29,0.4825,10,0.3888,30,0.6089,29
7,0.629,23,0.6249,23,0.6465,20,0.512,14,0.3957,31,0.6468,27
8,0.6571,1,0.6546,1,0.6657,0,0.5283,2,0.4607,4,0.6633,21
9,0.6734,3,0.6813,3,0.6871,1,0.5617,9,0.4912,5,0.6823,28
10,0.7095,12,0.7019,11,0.7076,2,0.6175,25,0.5175,6,0.7073,18
11,0.7183,11,0.726,14,0.7184,3,0.6341,1,0.5553,8,0.7131,19
12,0.7431,20,0.7443,22,0.7366,4,0.6595,21,0.5777,9,0.7381,30
13,0.7681,29,0.773,28,0.7637,5,0.6905,13,0.6042,10,0.7441,31
14,0.79,14,0.791,20,0.7699,6,0.709,29,0.6255,21,0.766,0
15,0.8035,27,0.8154,29,0.7812,7,0.7359,20,0.6437,28,0.7867,1
16,0.8182,4,0.8233,8,0.7905,8,0.7611,23,0.6708,14,0.7963,2
17,0.8285,5,0.8343,10,0.792,9,0.7733,27,0.6889,27,0.8164,3
18,0.8397333333333333,6,0.8435,9,0.8114,10,0.7864,6,0.724,11,0.8322,4
19,0.862,8,0.8596,27,0.8429,11,0.8016,15,0.7345,20,0.8443,5
20,0.8655,9,0.8744,5,0.8605,12,0.8105,19,0.7589,29,0.8574,6
21,0.8783,10,0.8898,4,0.8833,13,0.8207,5,0.7781,1,0.8668,7
22,0.8848,21,0.902,6,0.9013,14,0.8435,3,0.8099,3,0.8741,8
23,0.9141333333333334,28,0.9159,21,0.908,15,0.8692,26,0.8216,12,0.8869,9
24,0.9214,7,0.9239,7,0.9158,16,0.8933,16,0.839,0,0.8978,10
25,0.9323,18,0.9359,16,0.9237,17,0.9069,12,0.8662,2,0.9117,11
26,0.942,19,0.9462,17,0.9411,27,0.9136,8,0.8773,13,0.9255,12
27,0.9491,30,0.9576,30,0.9512,21,0.9337,28,0.9002,22,0.9437,13
28,0.9614,31,0.966,31,0.9633,30,0.9416,7,0.9276,23,0.9621,14
29,0.9654,15,0.9744,18,0.9733,31,0.9636,0,0.944,24,0.9683,15
30,0.9777,16,0.9809,19,0.9808,18,0.9717,30,0.9686,26,0.9806,16
31,0.989,17,0.9895,15,0.9902,19,0.9915,11,0.9893,25,0.9899,17
