,Vertex Cover,Vertex Cover nodes
0,0.0334,25
1,0.0383,26
2,0.0387,24
3,0.0436,22
4,0.0463,23
5,0.04632563754338313,20
6,0.0467,29
7,0.04736666666666667,27
8,0.0512,21
9,0.0532,28
10,0.0548,18
11,0.0576,19
12,0.0613,30
13,0.06132036594411935,31
14,0.0622,0
15,0.0649,1
16,0.0675,2
17,0.0688,3
18,0.0708,4
19,0.0747,5
20,0.0747512543583638,6
21,0.0793,7
22,0.07931552086460522,8
23,0.07935616694740782,9
24,0.0835,10
25,0.0924,11
26,0.08773333333333333,12
27,0.0908,13
28,0.0942,14
29,0.0955,15
30,0.09550773876934693,16
31,0.0984,17
